Zipcode,Street,Unit,City,Lat,Long,Block Group
90077,2634 N BEVERLY GLEN BLVD,,Los Angeles,34.11821,-118.44591,060372612001017
90036,524 N LA BREA AVE,,Los Angeles,34.08103,-118.34385,060371919021012
90039,3014 N FINCH ST,,Los Angeles,34.1123,-118.26027,060371871011009
90034,1951 S CRESCENT HEIGHTS BLVD,,Los Angeles,34.04095,-118.37578,060372703002011
90291,330 S RENNIE AVE,,Los Angeles,33.99805,-118.47249,060372733001011
90064,2238 S MALCOLM AVE,,Los Angeles,34.04405,-118.429,060372678002001
90045,6572 W 84TH PL,,Los Angeles,33.96179,-118.40408,060372770002006
90043,2919 W 75TH ST,,Los Angeles,33.97197,-118.32493,060372352013009
90016,3044 S WELLINGTON ROAD,,Los Angeles,34.02632,-118.33827,060372200002002
90066,4144 S BEETHOVEN ST,,Los Angeles,33.99287,-118.43532,060372754001007
90065,1120 N EL PASO DR,,Los Angeles,34.11736,-118.21623,060371862012014
90043,3237 W 60TH ST,1/2,Los Angeles,33.98553,-118.32915,060372347003008
90066,4146 S BEETHOVEN ST,,Los Angeles,33.99282,-118.43526,060372754001007
90016,3044 S WELLINGTON ROAD,1/2,Los Angeles,34.02632,-118.33827,060372200002002
90068,3146 N CADET CT,,Los Angeles,34.12587,-118.34719,060371437001007
90036,524 N LA BREA AVE,1/2,Los Angeles,34.08103,-118.34385,060371919021012
90065,2711 E PEPPER AVE,1/2,Los Angeles,34.09047,-118.22452,060371853201007
90744,329 N FIGUEROA ST,,Los Angeles,33.77303,-118.27884,060372949001008
90034,1915 S CRESCENT HEIGHTS BLVD,,Los Angeles,34.04197,-118.37546,060372703002011
90291,332 S RENNIE AVE,,Los Angeles,33.99796,-118.4724,060372733001011
90077,2632 N BEVERLY GLEN BLVD,,Los Angeles,34.11815,-118.44591,060372612001017
90042,721 N AVENUE 50,1/2,Los Angeles,34.11128,-118.2067,060371835202001
90042,721 N AVENUE 50,,Los Angeles,34.11128,-118.2067,060371835202001
90065,2711 E PEPPER AVE,,Los Angeles,34.09047,-118.22452,060371853201007
90731,100 E SWINFORD ST,,Los Angeles,33.74854,-118.2791,060379800311040
90043,2921 W 75TH ST,,Los Angeles,33.97197,-118.32502,060372352013009
90035,1153 S ORLANDO AVE,,Los Angeles,34.05562,-118.37406,060372168004007
90069,9105 W CORDELL DR,,Los Angeles,34.09407,-118.38985,060371943001000
91605,8039 N WILKINSON AVE,,Los Angeles,34.21698,-118.40431,060371210103005
90003,229 W 84TH PL,,Los Angeles,33.96246,-118.27701,060372397021001
90003,231 W 84TH PL,,Los Angeles,33.96246,-118.27709,060372397021001
90059,10920 S COMPTON AVE,,Los Angeles,33.93616,-118.24615,060372427003006
90046,7876 W GRANITO DR,,Los Angeles,34.10359,-118.36131,060371941022000
91604,3704 N CAHUENGA BLVD,,Los Angeles,34.13554,-118.36147,060371437003004
90037,1103 W LEIGHTON AVE,,Los Angeles,34.01334,-118.29462,060372312202009
90026,902 N TULAROSA DR,,Los Angeles,34.08415,-118.2792,060371959022000
91604,3728 N CAHUENGA BLVD,,Los Angeles,34.13576,-118.36169,060371437003004
90007,1360 W 25TH ST,,Los Angeles,34.03338,-118.2906,060372217101008
90046,7870 W GRANITO DR,,Los Angeles,34.10381,-118.36131,060371941022000
90002,629 E 107TH ST,,Los Angeles,33.93938,-118.26412,060372408003008
90026,900 N TULAROSA DR,,Los Angeles,34.08404,-118.27925,060371959022000
90029,1200 N EDGEMONT ST,,Los Angeles,34.09353,-118.29595,060371912031002
90046,7880 W GRANITO DR,,Los Angeles,34.10349,-118.36149,060371941022000
90048,107 S ALMONT DR,,Los Angeles,34.07503,-118.38793,060372149032000
91605,8041 N WILKINSON AVE,,Los Angeles,34.21709,-118.40431,060371210103005
90046,7900 W GRANITO DR,,Los Angeles,34.10344,-118.36186,060371941022000
90047,1527 W 81ST ST,,Los Angeles,33.9656,-118.30343,060372382004003
90230,11970 W CULVER DR,,Los Angeles,33.98971,-118.41082,060372756032004
90004,164 S SERRANO AVE,,Los Angeles,34.07183,-118.30656,060372114102001
90028,5901 W SUNSET BLVD,,Los Angeles,34.09822,-118.31812,060371910002003
90028,1519 N BRONSON AVE,,Los Angeles,34.09868,-118.31823,060371910002003
90028,1521 N BRONSON AVE,,Los Angeles,34.09873,-118.31823,060371910002003
90028,5907 W SUNSET BLVD,,Los Angeles,34.09822,-118.31826,060371910002003
90028,5905 W SUNSET BLVD,,Los Angeles,34.09822,-118.3182,060371910002003
90028,5903 W SUNSET BLVD,,Los Angeles,34.09822,-118.31815,060371910002003
90028,1515 N BRONSON AVE,,Los Angeles,34.0985,-118.31821,060371910002003
90028,1523 N BRONSON AVE,,Los Angeles,34.0988,-118.31823,060371910002003
